ID,Title,Authors,Source,Journal,Database,Type,Language,Publication year,Descriptor(s),Publication Country,Fulltext URL, Abstract,Entry Date,Volume number,Issue number,DOI
"613289","Coronavirus Disease 2019 (COVID-19): Chinese Radiologists are Acting.","Xiang, Kai Yan; Zu, Zi Yue; Lu, Guang Ming; Zhang, Long Jiang","J Thorac Imaging;2020 May 01. ","J. thorac imaging","MEDLINE","article","en","2020","","US","https://dx.doi.org/10.1097/RTI.0000000000000528","The ongoing outbreak of Coronavirus Disease 2019 (COVID-19) has spread rapidly throughout China and other countries, and has been characterized as a pandemic. With the strict prevention and control measures implemented by the Chinese government, the spread of the epidemic in China has come under preliminary control by the end of February, 2020, whereas the situation of some countries outside China is not optimistic and raises great public concern. In fighting COVID-19, radiologic examinations played a critical role in the early diagnosis of COVID-19, and could also help assess disease course and severity. There is an urgent need to share useful experience and effective measures internationally. This article outlines the collaborative actions and efforts by the Chinese radiology field and the situation of front-line health care workers in radiology departments to present the world with experiences and examples of Chinese radiology during the COVID-19 outbreak.",20200625,,, 
"613196","COVID-19: Una pandemia de valores./ COVID-19: Una pandemia de valores./ COVID-19: a pandemic of values.","Castells, Antoni","Gastroenterol Hepatol;43(6): 329-330, 2020. ","Gastroenterol Hepatol","MEDLINE","article","en","2020","","ES","https://dx.doi.org/10.1016/j.gastrohep.2020.04.002","",20200625,43,6, 
"611256","Manejo de la epidemia por coronavirus SARS-CoV-2 (COVID-19) en unidades de hemodiálisis./ Manejo de la epidemia por coronavirus SARS-CoV-2 (COVID-19) en unidades de hemodiálisis./ Management of the SARS-CoV-2 (COVID-19) coronavirus epidemic in hemodialysis units.","Arenas, María Dolores; Villar, Judit; González, Cristina; Cao, Higinio; Collado, Silvia; Crespo, Marta; Horcajada, Juan Pablo; Pascual, Julio","Nefrologia;40(3): 258-264, 2020. ","Nefrologia","MEDLINE","article","en","2020","","ES","https://dx.doi.org/10.1016/j.nefro.2020.04.001","The current outbreak of SARS-CoV-2 represents a special risk for renal patients due to their comorbidities and advanced age. The usual performance of hemodialysis treatments in collective rooms increases the risk. The specific information at this time in this regard is very limited. This manuscript includes a proposal for action to prevent infection in the Nephrology Services, and in particular in Hemodialysis Units, with the objective of early identification of patients who meet the definition of a suspected case of infection by SARS-CoV-2 and propose circuits and mechanisms to carry out hemodialysis treatments. They are recommendations in continuous review and can be modified if the epidemiological situation, the diagnostic and therapeutic options so require.",20200624,40,3, 
"611253","Recomendaciones en el manejo de la pandemia por coronavirus SARS-CoV-2 (Covid-19) en pacientes con trasplante renal./ Recomendaciones en el manejo de la pandemia por coronavirus SARS-CoV-2 (Covid-19) en pacientes con trasplante renal./ Recommendations on management of the SARS-CoV-2 coronavirus pandemic (Covid-19) in kidney transplant patients.","López, Verónica; Vázquez, Teresa; Alonso-Titos, Juana; Cabello, Mercedes; Alonso, Angel; Beneyto, Isabel; Crespo, Marta; Díaz-Corte, Carmen; Franco, Antonio; González-Roncero, Francisco; Gutiérrez, Elena; Guirado, Luis; Jiménez, Carlos; Jironda, Cristina; Lauzurica, Ricardo; Llorente, Santiago; Mazuecos, Auxiliadora; Paul, Javier; Rodríguez-Benot, Alberto; Ruiz, Juan Carlos; Sánchez-Fructuoso, Ana; Sola, Eugenia; Torregrosa, Vicente; Zárraga, Sofía; Hernández, Domingo","Nefrologia;40(3): 265-271, 2020. ","Nefrologia","MEDLINE","article","en","2020","","ES","https://dx.doi.org/10.1016/j.nefro.2020.03.002","The SARS-CoV-2 (Covid-19) coronavirus pandemic is evolving very quickly and means a special risk for both immunosuppressed and comorbid patients. Knowledge about this growing infection is also increasing although many uncertainties remain, especially in the kidney transplant population. This manuscript presents a proposal for action with general and specific recommendations to protect and prevent infection in this vulnerable population such as kidney transplant recipients.",20200624,40,3, 
"610477","COVID-19 pandemic and the quality of evidence synthesis.","Hajibandeh, S; Hajibandeh, S; Antoniou, S A; Antoniou, G A","Br J Surg;2020 Jun 22. ","Br. j. surg","MEDLINE","article","en","2020","","GB","https://dx.doi.org/10.1002/bjs.11766","",20200623,,, 
"601957","Clinical Judgment Is Paramount When Performing Cognitive Screening during COVID-19.","Phillips, Natalie A; Andrew, Melissa; Chertkow, Howard; Pichora-Fuller, Margaret Kathleen; Rockwood, Kenneth; Wittich, Walter","J Am Geriatr Soc;2020 May 12. ","J. am. geriatr. soc","MEDLINE","article","en","2020","","US","https://dx.doi.org/10.1111/jgs.16559","",20200618,,, 
"601609","COVID-19 risk triage: Engaging residents in telephonic screening.","Casas, Rachel S; Cooper, Jennifer L; Hempel, Eliana V","Med Educ;54(7): 670, 2020 Jul. ","Med Educ","MEDLINE","article","en","2020","","GB","https://dx.doi.org/10.1111/medu.14211","",20200618,54,7, 
"600918","This physicist-turned-economist is modelling the pandemic&#039;s financial fallout.","Gibney, Elizabeth","Nature;581(7807): 131, 2020 05. ","Nature","MEDLINE","article","en","2020","Coronavirus Infections/economics; Coronavirus Infections/epidemiology; Data Science; Models, Economic; Pandemics/economics; Pneumonia, Viral/economics; Pneumonia, Viral/epidemiology; Policy Making; Age Factors; Humans; Interdisciplinary Research; Machine Learning; Social Welfare/economics; Social Welfare/statistics &amp;amp; numerical data; Social Welfare/trends; Uncertainty; Unemployment/statistics &amp;amp; numerical data; Unemployment/trends; United Kingdom/epidemiology","GB","https://dx.doi.org/10.1038/d41586-020-01338-0","",20200618,581,7807, 
"32393527","Ethics and governance for digital disease surveillance.","Mello, Michelle M; Wang, C Jason","Science;368(6494): 951-954, 2020 May 29. ","Science","MEDLINE","article","en","2020","Artificial Intelligence/ethics; Coronavirus Infections/epidemiology; Epidemiological Monitoring; Pneumonia, Viral/epidemiology; Confidentiality/ethics; Datasets as Topic; Forecasting; Humans; Machine Learning; Pandemics","US","https://dx.doi.org/10.1126/science.abb9045","",20200618,368,6494, 
"599715","Epidemiology of Seasonal Coronaviruses: Establishing the Context for the Emergence of Coronavirus Disease 2019.","Nickbakhsh, Sema; Ho, Antonia; Marques, Diogo F P; McMenamin, Jim; Gunson, Rory N; Murcia, Pablo R","J Infect Dis;222(1): 17-25, 2020 06 16. ","J Infect Dis","MEDLINE","article","en","2020","","US","https://dx.doi.org/10.1093/infdis/jiaa185","Public health preparedness for coronavirus (CoV) disease 2019 (COVID-19) is challenging in the absence of setting-specific epidemiological data. Here we describe the epidemiology of seasonal CoVs (sCoVs) and other cocirculating viruses in the West of Scotland, United Kingdom. We analyzed routine diagnostic data for &gt;70 000 episodes of respiratory illness tested molecularly for multiple respiratory viruses between 2005 and 2017. Statistical associations with patient age and sex differed between CoV-229E, CoV-OC43, and CoV-NL63. Furthermore, the timing and magnitude of sCoV outbreaks did not occur concurrently, and coinfections were not reported. With respect to other cocirculating respiratory viruses, we found evidence of positive, rather than negative, interactions with sCoVs. These findings highlight the importance of considering cocirculating viruses in the differential diagnosis of COVID-19. Further work is needed to establish the occurrence/degree of cross-protective immunity conferred across sCoVs and with COVID-19, as well as the role of viral coinfection in COVID-19 disease severity.",20200617,222,1, 
